scrape_city_id,scrape_city_name,oyo_id,name,city,address,rating,price,latitude,longitude
7,Jaipur,207480,SPOT ON Hotel Pushp Niwas,," 922,923, service road, Delhi Mumbai bypass, badharna, Sikar road, Landmark- opposite Jai Mahal marriage garden, Jaipur",,,27.0079471,75.7880377
7,Jaipur,239809,Hotel supreme stay Jaipur international airport jagatpura chawpaty ,,"A-125, JDA staff colony, Sec.23, Haldi Ghati Marg, Pratap Nagarnull, Jaipur, India , Jaipur",,,26.8189424,75.8432641
7,Jaipur,221677,Hotel O N R Guest House,,"Shop no - 1-2, Goner Road, Railway Crossing, Vidhya Nagar, Jatapura, Jaipur",,,26.8349888,75.8353562
7,Jaipur,216927, Hotel O Z,,"Plot no. 422B Opposite gate no.3 SV public school, Adarsh Nagar Rd, near Geeta bhawan, , Raja Park, Jaipur, India - 302004.Behind City Center 2, Rajarhat New Town Action Area 2D Street No 723 Plot No 2504 Tali Park , Kolkata, West Bengal, Jaipur, India -, Jaipur",,,26.9010337,75.8274895
7,Jaipur,231161,Hotel O Kenin,,"plot no E 2-378 opp riddhi siddhi marriage garden, jagatpuraParvati Marg, Indira Gandhi Nagar, Sector-3, Jaipur",,,26.838639,75.87025
7,Jaipur,52719,OYO 30950 Hotel O Affy,," Plot no 222,  Guriraj Nagar Muhana mandi road mansarovar, Iskcon Road, Near Iskon Temple, Mansarovar, Jaipur, India , Jaipur",,,26.8409426,75.7622864
7,Jaipur,303274,Hotel O Pink City Home Stay,,"6 S.B Vihar USHANAND KUTIR LAN No 1 Behind vivek vihar metro station jaipur, Jaipur",,,26.8879126,75.7729221
7,Jaipur,6223,Hotel O Tip Top Plaza,,"Near SBI Bank Chouraha Chitrakoot, Vaishali Nagar, Jaipur null, Jaipur",,,26.896556,75.737694
7,Jaipur,357231, Hotel O Grand Majestic,,"163/89 , SECTOR 16 PRATAP NAGAR  opposite coaching hub, Jaipur",,,26.8051389,75.8251111
7,Jaipur,39037, Hotel O  Taurus,,"81, Panchsheel Enclave, Near Jawahar Circle, Jawahar Lal Nehru Marg, Vishnu Enclave, Mata Colony, Jaipur, Jaipur",,,26.8448614,75.8007375
7,Jaipur,59132,Hotel O Kukas Guest House,,"Jaipur Golden Petrol Pump, Amer, Near Fairmont Hotel Jaipur Near golden petrol pump, Jaipur",,,27.0088945,75.8825266
7,Jaipur,189946,Hotel O IC Guest House Bhankrota Bus Stop,,"G-1A Amarpali Nagar Near SDC The Destination Gandhi Path West, Vaishali Nagar West jaipur, Jaipur",,,26.8996241,75.7023776
7,Jaipur,270271,Hotel O The Petra Hotel,,"plot no 05, ganesh nagar plot no 05, ganesh nagarheerapura gate no 1 200ft by passnull, Jaipur",,,26.8924763,75.7352473
7,Jaipur,225646,Hotel O Connect,,"D-13,Jyoti Nagar Ext  D-13,Jyoti Nagar Ext near vidhan sabha, lalkhothinull, Jaipur",,,15.569991,73.7423
7,Jaipur,240895,Hotel O Golden Manor Inn,,"Plot no 35 Hawali Town Sikar Road, Chokdi near Khaitan Hospital, Jaipur",,,26.964639,75.771111
7,Jaipur,191764,Hotel O Jaipur View,,"3-4 Govind Vatika, Delhi By Pass Road, Jaipur",,,26.9414035,75.849227
7,Jaipur,325504,Hotel O Kukas Bus Terminal Formerly Stoneleaf Retreat,,"Jugalpura, Jagdamba Vihar, Chitanu Road, Near NIMS, Amber, Jaipur",,,27.1936505,75.9141015
7,Jaipur,7517,Hotel O Hari Villa ,," c-33 , mother teresa nagar, behind NWR Head office jawahar circle ,jaipur airport jaipur, Jaipur",,,26.8402168,75.8137557
7,Jaipur,305039, Hotel O Maruti,,"A11 84-62 ,Hotel Maruti opposite Mansarovar plaza madhyam marg SECTOR 8 , MANSAROVAR JAIPUR 302020 A11 84-62 ,Hotel Maruti opposite Mansarovar plaza madhyam marg SECTOR 8 , MANSAROVAR JAIPUR 302020 Sector 8null, Jaipur",,,26.8541256,75.7673224
7,Jaipur,61820,Hotel O Urbanite ,,"plot no 00 - urbanite, the prime omex city jaipur express way near badke balaji, omex city theekariya, Jaipur",,,26.845049764174675,75.63291169908715
7,Jaipur,112065,Hotel O Vista Inn,,"Plot No-395 A, Block-C Near Om Hospital, Airport,Sanganer, Jaipur",,,26.8336733,75.81189309999999
7,Jaipur,83310,Collection O TULIP PALACE,,"A-52/53 Opp. Metro Station, Walking, Bus Stand, Vivek Nagar, Kanti Nagar, Sindhi CampNear Sindhi Camp, Jaipur, Jaipur",,,26.9228906,75.7990794
7,Jaipur,84913,HOTEL O THE ROYAL INN,,"228 Ganga Sagar A, gate no 4, 200 feet byepass Near, Ganga Sagar Colony, Landmark - Bajri Mandi Road, Jaipur",,,26.9179335,75.7303385
7,Jaipur,106794,Hotel O townhouse,,"04/126 Sector 10, Sanganer, Sector 6, Pratap Nagar, Jaipur",,,26.8066988,75.8178418
7,Jaipur,194640,Silver Inn-2 Agarwal Farm Mansarovar ,,"plot not = 1, opposite d park, Maharani Farm, Mansarovar, Jaipurnullnullnull, Jaipur",,,26.847723,75.7761846
7,Jaipur,220161,Hotel O by OYO Shree Shyam Palace,,"Kesar Vihar, Sawai Gaitor, Near Water Tank, Jaipur",,,26.8360713,75.8143926
7,Jaipur,82850,Hotel O Gd Palace ,,"Plot No 24 luv kush nagar, mangyawas, near johari marraige garden, mansarovar, Jaipur",,,26.8635156,75.7498705
